Noise_Level,h_fast,h_grid,Nh_fast,Nh_grid,PSNR_fast,PNSR_grid,iter_fast,iter_grid
10,28.6510056673209,29.601,27,27,2.79285415153281,2.74843438064771,401,78
15,35.5686537816281,35.201,27,27,-0.66682993899552,-0.670028002618644,401,78
20,40.4246160948567,40.101,27,27,-3.12377428600289,-3.12569809902806,401,78
25,44.706928482904,44.501,27,27,-5.03324687235553,-5.03403602891901,401,78
30,47.7241770447034,48.601,27,27,-6.58886353063864,-6.59872018934509,401,78
