Noise_Level,h_grid,h_fast,Nh_grid,Nh_fast,MSE_grid,MSE_fast,iter_grid,iter_fast
10,2.301,3.37158890203775,342,233,6.05882382414877,4.06380571723958,234,78
15,2.301,3.38839559825029,406,279,15.8062644892174,10.5809878321426,234,78
20,2.501,3.48293493844131,422,307,27.5743119690883,20.5286025163965,235,78
25,2.701,3.57747427863232,433,331,42.5783346196546,34.3881708394736,236,78
30,2.801,3.67201361882333,454,350,62.7129981671502,51.9469555235202,237,78
