Noise_Level,h_grid,h_fast,Nh_grid,Nh_fast,MSE_grid,MSE_fast,iter_grid,iter_fast,Singal
0,7.08923984598921,8.98889268448766,27,21,3.8801006588587e-07,5.82932307213722e-07,1936,78,Lorantzian
0,2.24887695677573,15.7352662018113,304,44,1.06429234317688,6.67718305623223,6639,78,MRS
0,8.05790379602426,28.0791670535883,148,42,0.322641710566365,2.15683014768324,11846,78,Pulse
0,1913.51073888267,1901.46041790481,42,43,78148.7292942799,81820.0383312444,802142,78,square4
0,1.32496433216596,12.7303850550246,406,42,5.69056292101941e-06,0.00188693060852209,5371,78,sin6
0,5.73403385971502,5.67532109808928,42,43,0.0017931132144933,0.00182625495928715,2395,78,sinc7
